"term","estimate","hac_se","t_value","p_value","signif","n_obs","adj_r2"
"(Intercept)",0.993977747968122,0.092131219611154,10.7887180063747,5.42079100945011e-19,"***",114,0.1346
"time",-0.0202378320454518,0.00430723739398573,-4.69856434514388,7.56168091419219e-06,"***",NA,NA
"time2",0.000156633706568102,4.26201525588596e-05,3.67510900745337,0.000367797782961298,"***",NA,NA
