"term","estimate","hac_se","t_value","p_value","signif","n_obs","adj_r2"
"(Intercept)",5.82732423262054,0.506254370606157,11.5106645413121,2.38337434990054e-24,"***",228,0.0177
"time",0.0261048734066661,0.0399391115576345,0.65361677785434,0.514035153168785,"",NA,NA
"time2",-0.000237923323254202,0.000373278130433344,-0.637388863306814,0.524528377951428,"",NA,NA
"D",0.993977747968119,0.721373219874815,1.37789665679662,0.169622502032858,"",NA,NA
"time:D",-0.0202378320454517,0.0557170591190668,-0.363225058275306,0.716782392370243,"",NA,NA
"time2:D",0.000156633706568101,0.000516292216668509,0.303381886286829,0.76188297051427,"",NA,NA
