"term","estimate","hac_se","t_value","p_value","signif","n_obs","adj_r2"
"(Intercept)",6.38501102761613,0.208172684328974,30.6717043506339,2.09174058474361e-81,"***",228,0.5959
"time",-0.0525597233816343,0.00810746292466322,-6.48288174365196,5.8375540069306e-10,"***",NA,NA
"time2",0.000504756791307372,6.54425018382572e-05,7.71298127560727,4.2211342762413e-13,"***",NA,NA
"D",0.967359296927127,0.30171855170371,3.20616445844895,0.0015452662705769,"**",NA,NA
"covid",3.68832311500843,1.02944481312099,3.58282743086193,0.000418456849641427,"***",NA,NA
"time:D",-0.0164831623328842,0.0130411887320995,-1.26393097067238,0.207592371482364,"",NA,NA
"time2:D",0.000121185504376524,0.000112476563245049,1.07742894057406,0.282468672739409,"",NA,NA
"D:covid",-0.176044061184897,1.36901308946191,-0.12859194885718,0.897798014097385,"",NA,NA
