"term","estimate","hac_se","t_value","p_value","signif","n_obs","adj_r2"
"(Intercept)",4.92481962481961,0.310898988180488,15.8405778469777,2.99114370329947e-29,"***",108,0.7376
"time",0.0267494559947395,0.0254017496027279,1.05305565219282,0.294803717907198,"",NA,NA
"time2",0.000172050172050166,0.000439800356867805,0.391200619470803,0.696464935503787,"",NA,NA
"D",0.0824170274170339,0.526437378454422,0.156556184629222,0.875904090049741,"",NA,NA
"time:D",0.0273483277728557,0.047146823684677,0.580067237525145,0.563148474361324,"",NA,NA
"time2:D",-0.000375908158927021,0.000849330692911931,-0.442593399796043,0.658997003123097,"",NA,NA
